Date,Immigrants
2005-01,18812.666666666668
2005-02,18812.666666666668
2005-03,18812.666666666668
2005-04,24823.666666666668
2005-05,24823.666666666668
2005-06,24823.666666666668
2005-07,25315.0
2005-08,25315.0
2005-09,25315.0
2005-10,18462.0
2005-11,18462.0
2005-12,18462.0
2006-01,18378.0
2006-02,18378.0
2006-03,18378.0
2006-04,22636.333333333332
2006-05,22636.333333333332
2006-06,22636.333333333332
2006-07,23452.0
2006-08,23452.0
2006-09,23452.0
2006-10,19415.0
2006-11,19415.0
2006-12,19415.0
2007-01,15958.333333333334
2007-02,15958.333333333334
2007-03,15958.333333333334
2007-04,20549.666666666668
2007-05,20549.666666666668
2007-06,20549.666666666668
2007-07,23885.666666666668
2007-08,23885.666666666668
2007-09,23885.666666666668
2007-10,18524.333333333332
2007-11,18524.333333333332
2007-12,18524.333333333332
2008-01,17715.0
2008-02,17715.0
2008-03,17715.0
2008-04,23082.333333333332
2008-05,23082.333333333332
2008-06,23082.333333333332
2008-07,23770.666666666668
2008-08,23770.666666666668
2008-09,23770.666666666668
2008-10,17847.666666666668
2008-11,17847.666666666668
2008-12,17847.666666666668
2009-01,16927.666666666668
2009-02,16927.666666666668
2009-03,16927.666666666668
2009-04,23217.0
2009-05,23217.0
2009-06,23217.0
2009-07,25130.0
2009-08,25130.0
2009-09,25130.0
2009-10,18784.333333333332
2009-11,18784.333333333332
2009-12,18784.333333333332
2010-01,19347.0
2010-02,19347.0
2010-03,19347.0
2010-04,26932.333333333332
2010-05,26932.333333333332
2010-06,26932.333333333332
2010-07,28097.333333333332
2010-08,28097.333333333332
2010-09,28097.333333333332
2010-10,19184.0
2010-11,19184.0
2010-12,19184.0
2011-01,16523.333333333332
2011-02,16523.333333333332
2011-03,16523.333333333332
2011-04,22565.333333333332
2011-05,22565.333333333332
2011-06,22565.333333333332
2011-07,23954.666666666668
2011-08,23954.666666666668
2011-09,23954.666666666668
2011-10,19867.666666666668
2011-11,19867.666666666668
2011-12,19867.666666666668
2012-01,18521.0
2012-02,18521.0
2012-03,18521.0
2012-04,24335.333333333332
2012-05,24335.333333333332
2012-06,24335.333333333332
2012-07,22300.666666666668
2012-08,22300.666666666668
2012-09,22300.666666666668
2012-10,20779.333333333332
2012-11,20779.333333333332
2012-12,20779.333333333332
2013-01,19417.666666666668
2013-02,19417.666666666668
2013-03,19417.666666666668
2013-04,25202.666666666668
2013-05,25202.666666666668
2013-06,25202.666666666668
2013-07,21802.0
2013-08,21802.0
2013-09,21802.0
2013-10,19923.666666666668
2013-11,19923.666666666668
2013-12,19923.666666666668
2014-01,21486.0
2014-02,21486.0
2014-03,21486.0
2014-04,26096.333333333332
2014-05,26096.333333333332
2014-06,26096.333333333332
2014-07,21847.333333333332
2014-08,21847.333333333332
2014-09,21847.333333333332
2014-10,17335.666666666668
2014-11,17335.666666666668
2014-12,17335.666666666668
2015-01,17041.0
2015-02,17041.0
2015-03,17041.0
2015-04,24030.333333333332
2015-05,24030.333333333332
2015-06,24030.333333333332
2015-07,26300.666666666668
2015-08,26300.666666666668
2015-09,26300.666666666668
2015-10,23247.0
2015-11,23247.0
2015-12,23247.0
2016-01,28749.0
2016-02,28749.0
2016-03,28749.0
2016-04,29434.0
2016-05,29434.0
2016-06,29434.0
2016-07,22747.333333333332
2016-08,22747.333333333332
2016-09,22747.333333333332
2016-10,17871.333333333332
2016-11,17871.333333333332
2016-12,17871.333333333332
2017-01,24279.666666666668
2017-02,24279.666666666668
2017-03,24279.666666666668
2017-04,26004.0
2017-05,26004.0
2017-06,26004.0
2017-07,23369.666666666668
2017-08,23369.666666666668
2017-09,23369.666666666668
2017-10,21843.333333333332
2017-11,21843.333333333332
2017-12,21843.333333333332
2018-01,26669.0
2018-02,26669.0
2018-03,26669.0
2018-04,29226.333333333332
2018-05,29226.333333333332
2018-06,29226.333333333332
2018-07,27427.666666666668
2018-08,27427.666666666668
2018-09,27427.666666666668
2018-10,23693.333333333332
2018-11,23693.333333333332
2018-12,23693.333333333332
2019-01,21985.666666666668
2019-02,21985.666666666668
2019-03,21985.666666666668
2019-04,31427.0
2019-05,31427.0
2019-06,31427.0
2019-07,34573.0
2019-08,34573.0
2019-09,34573.0
2019-10,25745.0
2019-11,25745.0
2019-12,25745.0
2020-01,23044.333333333332
2020-02,23044.333333333332
2020-03,23044.333333333332
2020-04,11356.666666666666
2020-05,11356.666666666666
2020-06,11356.666666666666
2020-07,13372.0
2020-08,13372.0
2020-09,13372.0
2020-10,13755.666666666666
2020-11,13755.666666666666
2020-12,13755.666666666666
2021-01,23495.666666666668
2021-02,23495.666666666668
2021-03,23495.666666666668
2021-04,24812.666666666668
2021-05,24812.666666666668
2021-06,24812.666666666668
2021-07,40970.333333333336
2021-08,40970.333333333336
2021-09,40970.333333333336
2021-10,46063.333333333336
2021-11,46063.333333333336
2021-12,46063.333333333336
