Date,,0,Region
Mar 2007,Two_storey,343200,Ontario
Mar 2007,Townhouse,208800,Ontario
Mar 2007,Apartment,209200,Ontario
Apr 2007,Composite,295700,Ontario
Apr 2007,Single_family,318500,Ontario
Apr 2007,One_storey,260000,Ontario
Apr 2007,Two_storey,347100,Ontario
Apr 2007,Townhouse,209700,Ontario
Apr 2007,Apartment,210900,Ontario
May 2007,Composite,299200,Ontario
May 2007,Single_family,322500,Ontario
May 2007,One_storey,263300,Ontario
May 2007,Two_storey,351000,Ontario
May 2007,Townhouse,211700,Ontario
May 2007,Apartment,213300,Ontario
Jun 2007,Composite,302400,Ontario
Jun 2007,Single_family,326100,Ontario
Jun 2007,One_storey,266200,Ontario
Jun 2007,Two_storey,354900,Ontario
Jun 2007,Townhouse,213400,Ontario
Jun 2007,Apartment,216000,Ontario
Jul 2007,Composite,305400,Ontario
Jul 2007,Single_family,329900,Ontario
Jul 2007,One_storey,269400,Ontario
Jul 2007,Two_storey,358700,Ontario
Jul 2007,Townhouse,215000,Ontario
Jul 2007,Apartment,217600,Ontario
Aug 2007,Composite,308100,Ontario
Aug 2007,Single_family,333000,Ontario
Aug 2007,One_storey,272000,Ontario
Aug 2007,Two_storey,362000,Ontario
Aug 2007,Townhouse,217900,Ontario
Aug 2007,Apartment,218600,Ontario
Sep 2007,Composite,310800,Ontario
Sep 2007,Single_family,336000,Ontario
Sep 2007,One_storey,273900,Ontario
Sep 2007,Two_storey,365200,Ontario
Sep 2007,Townhouse,217900,Ontario
Sep 2007,Apartment,220300,Ontario
Oct 2007,Composite,313800,Ontario
Oct 2007,Single_family,339600,Ontario
Oct 2007,One_storey,276700,Ontario
Oct 2007,Two_storey,369300,Ontario
Oct 2007,Townhouse,219600,Ontario
Oct 2007,Apartment,222600,Ontario
Nov 2007,Composite,316300,Ontario
Nov 2007,Single_family,342500,Ontario
Nov 2007,One_storey,278900,Ontario
Nov 2007,Two_storey,372400,Ontario
Nov 2007,Townhouse,221300,Ontario
Nov 2007,Apartment,224800,Ontario
Dec 2007,Composite,319200,Ontario
Dec 2007,Single_family,345900,Ontario
Dec 2007,One_storey,280600,Ontario
Dec 2007,Two_storey,376400,Ontario
Dec 2007,Townhouse,223000,Ontario
Dec 2007,Apartment,226900,Ontario
Jan 2008,Composite,321400,Ontario
Jan 2008,Single_family,348200,Ontario
Jan 2008,One_storey,282700,Ontario
Jan 2008,Two_storey,378600,Ontario
Jan 2008,Townhouse,224600,Ontario
Jan 2008,Apartment,229600,Ontario
Feb 2008,Composite,322100,Ontario
Feb 2008,Single_family,348800,Ontario
Feb 2008,One_storey,283700,Ontario
Feb 2008,Two_storey,379200,Ontario
Feb 2008,Townhouse,225400,Ontario
Feb 2008,Apartment,231200,Ontario
Mar 2008,Composite,321500,Ontario
Mar 2008,Single_family,348000,Ontario
Mar 2008,One_storey,283100,Ontario
Mar 2008,Two_storey,378200,Ontario
Mar 2008,Townhouse,225000,Ontario
Mar 2008,Apartment,232500,Ontario
Apr 2008,Composite,321200,Ontario
Apr 2008,Single_family,347500,Ontario
Apr 2008,One_storey,282800,Ontario
Apr 2008,Two_storey,377500,Ontario
Apr 2008,Townhouse,226500,Ontario
Apr 2008,Apartment,232800,Ontario
May 2008,Composite,320200,Ontario
May 2008,Single_family,346200,Ontario
May 2008,One_storey,282400,Ontario
May 2008,Two_storey,375900,Ontario
May 2008,Townhouse,227000,Ontario
May 2008,Apartment,232800,Ontario
Jun 2008,Composite,319100,Ontario
Jun 2008,Single_family,344900,Ontario
Jun 2008,One_storey,281800,Ontario
Jun 2008,Two_storey,374200,Ontario
Jun 2008,Townhouse,226900,Ontario
Jun 2008,Apartment,232300,Ontario
Jul 2008,Composite,317900,Ontario
Jul 2008,Single_family,343200,Ontario
Jul 2008,One_storey,279600,Ontario
Jul 2008,Two_storey,372600,Ontario
Jul 2008,Townhouse,227100,Ontario
Jul 2008,Apartment,232700,Ontario
Aug 2008,Composite,316800,Ontario
Aug 2008,Single_family,341900,Ontario
Aug 2008,One_storey,279300,Ontario
Aug 2008,Two_storey,370800,Ontario
Aug 2008,Townhouse,227400,Ontario
Aug 2008,Apartment,232900,Ontario
Sep 2008,Composite,315800,Ontario
Sep 2008,Single_family,340600,Ontario
Sep 2008,One_storey,278400,Ontario
Sep 2008,Two_storey,369300,Ontario
Sep 2008,Townhouse,227300,Ontario
Sep 2008,Apartment,232200,Ontario
Oct 2008,Composite,312700,Ontario
Oct 2008,Single_family,336900,Ontario
Oct 2008,One_storey,276000,Ontario
Oct 2008,Two_storey,365100,Ontario
Oct 2008,Townhouse,226700,Ontario
Oct 2008,Apartment,231900,Ontario
Nov 2008,Composite,310500,Ontario
Nov 2008,Single_family,334300,Ontario
Nov 2008,One_storey,272500,Ontario
Nov 2008,Two_storey,363100,Ontario
Nov 2008,Townhouse,226300,Ontario
Nov 2008,Apartment,230300,Ontario
Dec 2008,Composite,306700,Ontario
Dec 2008,Single_family,330400,Ontario
Dec 2008,One_storey,269500,Ontario
Dec 2008,Two_storey,358500,Ontario
Dec 2008,Townhouse,223100,Ontario
Dec 2008,Apartment,228300,Ontario
Jan 2009,Composite,304100,Ontario
Jan 2009,Single_family,327800,Ontario
Jan 2009,One_storey,267500,Ontario
Jan 2009,Two_storey,355800,Ontario
Jan 2009,Townhouse,223100,Ontario
Jan 2009,Apartment,223000,Ontario
Feb 2009,Composite,301800,Ontario
Feb 2009,Single_family,325000,Ontario
Feb 2009,One_storey,266000,Ontario
Feb 2009,Two_storey,352300,Ontario
Feb 2009,Townhouse,222100,Ontario
Feb 2009,Apartment,223700,Ontario
Mar 2009,Composite,301600,Ontario
Mar 2009,Single_family,324700,Ontario
Mar 2009,One_storey,264200,Ontario
Mar 2009,Two_storey,352700,Ontario
Mar 2009,Townhouse,221700,Ontario
Mar 2009,Apartment,223600,Ontario
Apr 2009,Composite,303800,Ontario
Apr 2009,Single_family,327100,Ontario
Apr 2009,One_storey,267000,Ontario
Apr 2009,Two_storey,354900,Ontario
Apr 2009,Townhouse,221400,Ontario
Apr 2009,Apartment,225600,Ontario
May 2009,Composite,307200,Ontario
May 2009,Single_family,331100,Ontario
May 2009,One_storey,269800,Ontario
May 2009,Two_storey,359300,Ontario
May 2009,Townhouse,222200,Ontario
May 2009,Apartment,228000,Ontario
Jun 2009,Composite,311900,Ontario
Jun 2009,Single_family,336300,Ontario
Jun 2009,One_storey,273600,Ontario
Jun 2009,Two_storey,365200,Ontario
Jun 2009,Townhouse,224000,Ontario
Jun 2009,Apartment,231400,Ontario
Jul 2009,Composite,316500,Ontario
Jul 2009,Single_family,341400,Ontario
Jul 2009,One_storey,277200,Ontario
Jul 2009,Two_storey,370700,Ontario
Jul 2009,Townhouse,226800,Ontario
Jul 2009,Apartment,235100,Ontario
Aug 2009,Composite,321000,Ontario
Aug 2009,Single_family,346100,Ontario
Aug 2009,One_storey,280400,Ontario
Aug 2009,Two_storey,376200,Ontario
Aug 2009,Townhouse,228900,Ontario
Aug 2009,Apartment,239500,Ontario
Sep 2009,Composite,325500,Ontario
Sep 2009,Single_family,351000,Ontario
Sep 2009,One_storey,283700,Ontario
Sep 2009,Two_storey,381800,Ontario
Sep 2009,Townhouse,230900,Ontario
Sep 2009,Apartment,243300,Ontario
Oct 2009,Composite,330500,Ontario
Oct 2009,Single_family,356700,Ontario
Oct 2009,One_storey,288400,Ontario
Oct 2009,Two_storey,388000,Ontario
Oct 2009,Townhouse,233900,Ontario
Oct 2009,Apartment,246900,Ontario
Nov 2009,Composite,334800,Ontario
Nov 2009,Single_family,361000,Ontario
Nov 2009,One_storey,290500,Ontario
Nov 2009,Two_storey,393400,Ontario
Nov 2009,Townhouse,236200,Ontario
Nov 2009,Apartment,251400,Ontario
Dec 2009,Composite,338500,Ontario
Dec 2009,Single_family,365200,Ontario
Dec 2009,One_storey,295200,Ontario
Dec 2009,Two_storey,397200,Ontario
Dec 2009,Townhouse,240000,Ontario
Dec 2009,Apartment,254800,Ontario
Jan 2010,Composite,341400,Ontario
Jan 2010,Single_family,367800,Ontario
Jan 2010,One_storey,295200,Ontario
Jan 2010,Two_storey,400900,Ontario
Jan 2010,Townhouse,242500,Ontario
Jan 2010,Apartment,259200,Ontario
Feb 2010,Composite,344400,Ontario
Feb 2010,Single_family,371400,Ontario
Feb 2010,One_storey,296700,Ontario
Feb 2010,Two_storey,405500,Ontario
Feb 2010,Townhouse,243900,Ontario
Feb 2010,Apartment,260000,Ontario
