Date,,0,Region
Jan 2007,Single_family,139900,Newfoundland
Jan 2007,One_storey,127200,Newfoundland
Jan 2007,Two_storey,157700,Newfoundland
Jan 2007,Townhouse,145200,Newfoundland
Jan 2007,Apartment,114400,Newfoundland
Feb 2007,Composite,140200,Newfoundland
Feb 2007,Single_family,140400,Newfoundland
Feb 2007,One_storey,127800,Newfoundland
Feb 2007,Two_storey,157900,Newfoundland
Feb 2007,Townhouse,147800,Newfoundland
Feb 2007,Apartment,113800,Newfoundland
Mar 2007,Composite,140700,Newfoundland
Mar 2007,Single_family,140900,Newfoundland
Mar 2007,One_storey,128300,Newfoundland
Mar 2007,Two_storey,158600,Newfoundland
Mar 2007,Townhouse,149700,Newfoundland
Mar 2007,Apartment,112600,Newfoundland
Apr 2007,Composite,141500,Newfoundland
Apr 2007,Single_family,141700,Newfoundland
Apr 2007,One_storey,129100,Newfoundland
Apr 2007,Two_storey,159300,Newfoundland
Apr 2007,Townhouse,152200,Newfoundland
Apr 2007,Apartment,111700,Newfoundland
May 2007,Composite,142200,Newfoundland
May 2007,Single_family,142300,Newfoundland
May 2007,One_storey,129700,Newfoundland
May 2007,Two_storey,160000,Newfoundland
May 2007,Townhouse,155000,Newfoundland
May 2007,Apartment,111300,Newfoundland
Jun 2007,Composite,142800,Newfoundland
Jun 2007,Single_family,142900,Newfoundland
Jun 2007,One_storey,130600,Newfoundland
Jun 2007,Two_storey,160200,Newfoundland
Jun 2007,Townhouse,156100,Newfoundland
Jun 2007,Apartment,110800,Newfoundland
Jul 2007,Composite,143900,Newfoundland
Jul 2007,Single_family,144000,Newfoundland
Jul 2007,One_storey,131500,Newfoundland
Jul 2007,Two_storey,161700,Newfoundland
Jul 2007,Townhouse,155900,Newfoundland
Jul 2007,Apartment,112000,Newfoundland
Aug 2007,Composite,145000,Newfoundland
Aug 2007,Single_family,145100,Newfoundland
Aug 2007,One_storey,132400,Newfoundland
Aug 2007,Two_storey,163000,Newfoundland
Aug 2007,Townhouse,154500,Newfoundland
Aug 2007,Apartment,113800,Newfoundland
Sep 2007,Composite,146300,Newfoundland
Sep 2007,Single_family,146400,Newfoundland
Sep 2007,One_storey,133300,Newfoundland
Sep 2007,Two_storey,164300,Newfoundland
Sep 2007,Townhouse,153300,Newfoundland
Sep 2007,Apartment,115100,Newfoundland
Oct 2007,Composite,147500,Newfoundland
Oct 2007,Single_family,147800,Newfoundland
Oct 2007,One_storey,135100,Newfoundland
Oct 2007,Two_storey,165300,Newfoundland
