,Date,Features,0,Region
144,Jan 2007,Composite,286300,Ontario
145,Jan 2007,Single_family,307200,Ontario
146,Jan 2007,One_storey,252800,Ontario
147,Jan 2007,Two_storey,334300,Ontario
148,Jan 2007,Townhouse,204700,Ontario
149,Jan 2007,Apartment,205500,Ontario
150,Feb 2007,Composite,290100,Ontario
151,Feb 2007,Single_family,311900,Ontario
152,Feb 2007,One_storey,255600,Ontario
153,Feb 2007,Two_storey,339600,Ontario
154,Feb 2007,Townhouse,206500,Ontario
155,Feb 2007,Apartment,206700,Ontario
156,Mar 2007,Composite,292900,Ontario
157,Mar 2007,Single_family,315200,Ontario
158,Mar 2007,One_storey,258000,Ontario
159,Mar 2007,Two_storey,343200,Ontario
160,Mar 2007,Townhouse,208800,Ontario
161,Mar 2007,Apartment,209200,Ontario
162,Apr 2007,Composite,295700,Ontario
163,Apr 2007,Single_family,318500,Ontario
164,Apr 2007,One_storey,260000,Ontario
165,Apr 2007,Two_storey,347100,Ontario
166,Apr 2007,Townhouse,209700,Ontario
167,Apr 2007,Apartment,210900,Ontario
168,May 2007,Composite,299200,Ontario
169,May 2007,Single_family,322500,Ontario
170,May 2007,One_storey,263300,Ontario
171,May 2007,Two_storey,351000,Ontario
172,May 2007,Townhouse,211700,Ontario
173,May 2007,Apartment,213300,Ontario
174,Jun 2007,Composite,302400,Ontario
175,Jun 2007,Single_family,326100,Ontario
176,Jun 2007,One_storey,266200,Ontario
177,Jun 2007,Two_storey,354900,Ontario
178,Jun 2007,Townhouse,213400,Ontario
179,Jun 2007,Apartment,216000,Ontario
180,Jul 2007,Composite,305400,Ontario
181,Jul 2007,Single_family,329900,Ontario
182,Jul 2007,One_storey,269400,Ontario
183,Jul 2007,Two_storey,358700,Ontario
184,Jul 2007,Townhouse,215000,Ontario
185,Jul 2007,Apartment,217600,Ontario
186,Aug 2007,Composite,308100,Ontario
187,Aug 2007,Single_family,333000,Ontario
188,Aug 2007,One_storey,272000,Ontario
189,Aug 2007,Two_storey,362000,Ontario
190,Aug 2007,Townhouse,217900,Ontario
191,Aug 2007,Apartment,218600,Ontario
192,Sep 2007,Composite,310800,Ontario
193,Sep 2007,Single_family,336000,Ontario
194,Sep 2007,One_storey,273900,Ontario
195,Sep 2007,Two_storey,365200,Ontario
196,Sep 2007,Townhouse,217900,Ontario
197,Sep 2007,Apartment,220300,Ontario
198,Oct 2007,Composite,313800,Ontario
199,Oct 2007,Single_family,339600,Ontario
200,Oct 2007,One_storey,276700,Ontario
