Date,,0,Region
Mar 2007,Two_storey,258000,Quebec
Mar 2007,Townhouse,205700,Quebec
Mar 2007,Apartment,168100,Quebec
Apr 2007,Composite,202600,Quebec
Apr 2007,Single_family,213500,Quebec
Apr 2007,One_storey,176000,Quebec
Apr 2007,Two_storey,259100,Quebec
Apr 2007,Townhouse,206000,Quebec
Apr 2007,Apartment,167800,Quebec
May 2007,Composite,204500,Quebec
May 2007,Single_family,216100,Quebec
May 2007,One_storey,178700,Quebec
May 2007,Two_storey,261600,Quebec
May 2007,Townhouse,204700,Quebec
May 2007,Apartment,168500,Quebec
Jun 2007,Composite,205100,Quebec
Jun 2007,Single_family,216800,Quebec
Jun 2007,One_storey,180300,Quebec
Jun 2007,Two_storey,261700,Quebec
Jun 2007,Townhouse,208900,Quebec
Jun 2007,Apartment,168600,Quebec
Jul 2007,Composite,207200,Quebec
Jul 2007,Single_family,218900,Quebec
Jul 2007,One_storey,181600,Quebec
Jul 2007,Two_storey,264800,Quebec
Jul 2007,Townhouse,207200,Quebec
Jul 2007,Apartment,170200,Quebec
Aug 2007,Composite,208000,Quebec
Aug 2007,Single_family,219700,Quebec
Aug 2007,One_storey,181900,Quebec
Aug 2007,Two_storey,265900,Quebec
Aug 2007,Townhouse,208200,Quebec
Aug 2007,Apartment,171400,Quebec
Sep 2007,Composite,209600,Quebec
Sep 2007,Single_family,221400,Quebec
Sep 2007,One_storey,183600,Quebec
Sep 2007,Two_storey,267700,Quebec
Sep 2007,Townhouse,210300,Quebec
Sep 2007,Apartment,172700,Quebec
Oct 2007,Composite,211100,Quebec
Oct 2007,Single_family,223400,Quebec
Oct 2007,One_storey,185500,Quebec
Oct 2007,Two_storey,269800,Quebec
Oct 2007,Townhouse,213000,Quebec
Oct 2007,Apartment,172600,Quebec
Nov 2007,Composite,212800,Quebec
Nov 2007,Single_family,224900,Quebec
Nov 2007,One_storey,185700,Quebec
Nov 2007,Two_storey,272400,Quebec
Nov 2007,Townhouse,215300,Quebec
Nov 2007,Apartment,174700,Quebec
Dec 2007,Composite,214500,Quebec
Dec 2007,Single_family,227200,Quebec
Dec 2007,One_storey,188000,Quebec
Dec 2007,Two_storey,275100,Quebec
Dec 2007,Townhouse,217100,Quebec
Dec 2007,Apartment,175600,Quebec
Jan 2008,Composite,214600,Quebec
Jan 2008,Single_family,227800,Quebec
Jan 2008,One_storey,188900,Quebec
Jan 2008,Two_storey,275200,Quebec
Jan 2008,Townhouse,219500,Quebec
Jan 2008,Apartment,173300,Quebec
Feb 2008,Composite,216000,Quebec
Feb 2008,Single_family,229000,Quebec
Feb 2008,One_storey,189300,Quebec
Feb 2008,Two_storey,277300,Quebec
Feb 2008,Townhouse,218400,Quebec
Feb 2008,Apartment,176000,Quebec
Mar 2008,Composite,217200,Quebec
Mar 2008,Single_family,230500,Quebec
Mar 2008,One_storey,190000,Quebec
Mar 2008,Two_storey,279500,Quebec
Mar 2008,Townhouse,219800,Quebec
Mar 2008,Apartment,177400,Quebec
Apr 2008,Composite,218500,Quebec
Apr 2008,Single_family,232000,Quebec
Apr 2008,One_storey,191700,Quebec
Apr 2008,Two_storey,280600,Quebec
Apr 2008,Townhouse,219600,Quebec
Apr 2008,Apartment,178300,Quebec
May 2008,Composite,218900,Quebec
May 2008,Single_family,232100,Quebec
May 2008,One_storey,191700,Quebec
May 2008,Two_storey,280900,Quebec
May 2008,Townhouse,222200,Quebec
May 2008,Apartment,180100,Quebec
Jun 2008,Composite,220600,Quebec
Jun 2008,Single_family,234100,Quebec
Jun 2008,One_storey,192600,Quebec
Jun 2008,Two_storey,284100,Quebec
Jun 2008,Townhouse,225200,Quebec
Jun 2008,Apartment,181400,Quebec
Jul 2008,Composite,220900,Quebec
Jul 2008,Single_family,234200,Quebec
Jul 2008,One_storey,193500,Quebec
Jul 2008,Two_storey,283800,Quebec
Jul 2008,Townhouse,221400,Quebec
Jul 2008,Apartment,182400,Quebec
Aug 2008,Composite,222200,Quebec
Aug 2008,Single_family,236100,Quebec
Aug 2008,One_storey,194600,Quebec
Aug 2008,Two_storey,286200,Quebec
Aug 2008,Townhouse,224100,Quebec
Aug 2008,Apartment,182100,Quebec
Sep 2008,Composite,222600,Quebec
Sep 2008,Single_family,236800,Quebec
Sep 2008,One_storey,195100,Quebec
Sep 2008,Two_storey,287100,Quebec
Sep 2008,Townhouse,226500,Quebec
Sep 2008,Apartment,181600,Quebec
Oct 2008,Composite,221700,Quebec
Oct 2008,Single_family,235800,Quebec
Oct 2008,One_storey,195000,Quebec
Oct 2008,Two_storey,284900,Quebec
Oct 2008,Townhouse,228200,Quebec
Oct 2008,Apartment,181200,Quebec
Nov 2008,Composite,221900,Quebec
Nov 2008,Single_family,235500,Quebec
Nov 2008,One_storey,195500,Quebec
Nov 2008,Two_storey,283200,Quebec
Nov 2008,Townhouse,234900,Quebec
Nov 2008,Apartment,182000,Quebec
Dec 2008,Composite,222100,Quebec
Dec 2008,Single_family,234900,Quebec
Dec 2008,One_storey,193900,Quebec
Dec 2008,Two_storey,284300,Quebec
Dec 2008,Townhouse,231400,Quebec
Dec 2008,Apartment,186300,Quebec
Jan 2009,Composite,222100,Quebec
Jan 2009,Single_family,235700,Quebec
Jan 2009,One_storey,193400,Quebec
Jan 2009,Two_storey,286900,Quebec
Jan 2009,Townhouse,232400,Quebec
Jan 2009,Apartment,183000,Quebec
Feb 2009,Composite,222400,Quebec
Feb 2009,Single_family,236000,Quebec
Feb 2009,One_storey,194500,Quebec
Feb 2009,Two_storey,286000,Quebec
Feb 2009,Townhouse,230100,Quebec
Feb 2009,Apartment,184000,Quebec
Mar 2009,Composite,222100,Quebec
Mar 2009,Single_family,235600,Quebec
Mar 2009,One_storey,194400,Quebec
Mar 2009,Two_storey,285200,Quebec
Mar 2009,Townhouse,229700,Quebec
Mar 2009,Apartment,184300,Quebec
Apr 2009,Composite,223600,Quebec
Apr 2009,Single_family,237100,Quebec
Apr 2009,One_storey,195900,Quebec
Apr 2009,Two_storey,286400,Quebec
Apr 2009,Townhouse,234700,Quebec
Apr 2009,Apartment,185600,Quebec
May 2009,Composite,224700,Quebec
May 2009,Single_family,239000,Quebec
May 2009,One_storey,197500,Quebec
May 2009,Two_storey,288700,Quebec
May 2009,Townhouse,236800,Quebec
May 2009,Apartment,184900,Quebec
Jun 2009,Composite,225600,Quebec
Jun 2009,Single_family,239800,Quebec
Jun 2009,One_storey,198200,Quebec
Jun 2009,Two_storey,289700,Quebec
Jun 2009,Townhouse,239400,Quebec
Jun 2009,Apartment,186200,Quebec
Jul 2009,Composite,227600,Quebec
Jul 2009,Single_family,241800,Quebec
Jul 2009,One_storey,200700,Quebec
Jul 2009,Two_storey,291300,Quebec
Jul 2009,Townhouse,237400,Quebec
Jul 2009,Apartment,188500,Quebec
Aug 2009,Composite,228800,Quebec
Aug 2009,Single_family,243400,Quebec
Aug 2009,One_storey,202300,Quebec
Aug 2009,Two_storey,292700,Quebec
Aug 2009,Townhouse,241600,Quebec
Aug 2009,Apartment,188900,Quebec
Sep 2009,Composite,230600,Quebec
Sep 2009,Single_family,245400,Quebec
Sep 2009,One_storey,202300,Quebec
Sep 2009,Two_storey,297100,Quebec
Sep 2009,Townhouse,241900,Quebec
Sep 2009,Apartment,190500,Quebec
Oct 2009,Composite,233400,Quebec
Oct 2009,Single_family,248000,Quebec
Oct 2009,One_storey,204300,Quebec
Oct 2009,Two_storey,300700,Quebec
Oct 2009,Townhouse,243400,Quebec
Oct 2009,Apartment,193800,Quebec
Nov 2009,Composite,235900,Quebec
Nov 2009,Single_family,251600,Quebec
Nov 2009,One_storey,206800,Quebec
Nov 2009,Two_storey,304400,Quebec
Nov 2009,Townhouse,239100,Quebec
Nov 2009,Apartment,194600,Quebec
Dec 2009,Composite,234500,Quebec
Dec 2009,Single_family,250900,Quebec
Dec 2009,One_storey,207300,Quebec
Dec 2009,Two_storey,303100,Quebec
Dec 2009,Townhouse,240300,Quebec
Dec 2009,Apartment,192500,Quebec
Jan 2010,Composite,238200,Quebec
Jan 2010,Single_family,253600,Quebec
Jan 2010,One_storey,210600,Quebec
Jan 2010,Two_storey,305200,Quebec
Jan 2010,Townhouse,249300,Quebec
Jan 2010,Apartment,197300,Quebec
Feb 2010,Composite,239500,Quebec
Feb 2010,Single_family,254800,Quebec
Feb 2010,One_storey,212300,Quebec
Feb 2010,Two_storey,305200,Quebec
Feb 2010,Townhouse,256100,Quebec
Feb 2010,Apartment,199600,Quebec
Mar 2010,Composite,241600,Quebec
Mar 2010,Single_family,257200,Quebec
Mar 2010,One_storey,213400,Quebec
Mar 2010,Two_storey,309500,Quebec
Mar 2010,Townhouse,255000,Quebec
Mar 2010,Apartment,201200,Quebec
Apr 2010,Composite,242600,Quebec
Apr 2010,Single_family,258300,Quebec
Apr 2010,One_storey,214000,Quebec
Apr 2010,Two_storey,311200,Quebec
Apr 2010,Townhouse,261800,Quebec
Apr 2010,Apartment,201800,Quebec
May 2010,Composite,245200,Quebec
May 2010,Single_family,261000,Quebec
May 2010,One_storey,215900,Quebec
May 2010,Two_storey,315000,Quebec
May 2010,Townhouse,259100,Quebec
May 2010,Apartment,204800,Quebec
Jun 2010,Composite,246200,Quebec
Jun 2010,Single_family,262700,Quebec
Jun 2010,One_storey,216200,Quebec
Jun 2010,Two_storey,318300,Quebec
Jun 2010,Townhouse,266900,Quebec
Jun 2010,Apartment,203700,Quebec
Jul 2010,Composite,247100,Quebec
Jul 2010,Single_family,264700,Quebec
Jul 2010,One_storey,217100,Quebec
Jul 2010,Two_storey,321900,Quebec
Jul 2010,Townhouse,260700,Quebec
Jul 2010,Apartment,202800,Quebec
Aug 2010,Composite,246800,Quebec
Aug 2010,Single_family,263700,Quebec
Aug 2010,One_storey,217800,Quebec
Aug 2010,Two_storey,318700,Quebec
Aug 2010,Townhouse,261500,Quebec
Aug 2010,Apartment,204500,Quebec
Sep 2010,Composite,247800,Quebec
Sep 2010,Single_family,264900,Quebec
Sep 2010,One_storey,218700,Quebec
Sep 2010,Two_storey,320600,Quebec
Sep 2010,Townhouse,260200,Quebec
Sep 2010,Apartment,205400,Quebec
Oct 2010,Composite,250200,Quebec
Oct 2010,Single_family,267100,Quebec
Oct 2010,One_storey,221800,Quebec
Oct 2010,Two_storey,321700,Quebec
Oct 2010,Townhouse,262900,Quebec
Oct 2010,Apartment,208400,Quebec
Nov 2010,Composite,252200,Quebec
Nov 2010,Single_family,270000,Quebec
Nov 2010,One_storey,222000,Quebec
Nov 2010,Two_storey,326800,Quebec
Nov 2010,Townhouse,266100,Quebec
Nov 2010,Apartment,208300,Quebec
Dec 2010,Composite,253200,Quebec
Dec 2010,Single_family,271600,Quebec
Dec 2010,One_storey,223400,Quebec
Dec 2010,Two_storey,329200,Quebec
Dec 2010,Townhouse,267400,Quebec
Dec 2010,Apartment,209500,Quebec
Jan 2011,Composite,254400,Quebec
Jan 2011,Single_family,271800,Quebec
Jan 2011,One_storey,224100,Quebec
Jan 2011,Two_storey,329100,Quebec
Jan 2011,Townhouse,276800,Quebec
Jan 2011,Apartment,211800,Quebec
Feb 2011,Composite,255700,Quebec
Feb 2011,Single_family,273700,Quebec
Feb 2011,One_storey,224100,Quebec
Feb 2011,Two_storey,333100,Quebec
Feb 2011,Townhouse,277800,Quebec
Feb 2011,Apartment,211600,Quebec
Mar 2011,Composite,256900,Quebec
Mar 2011,Single_family,275300,Quebec
Mar 2011,One_storey,226700,Quebec
Mar 2011,Two_storey,333800,Quebec
Mar 2011,Townhouse,279900,Quebec
Mar 2011,Apartment,211800,Quebec
Apr 2011,Composite,257000,Quebec
Apr 2011,Single_family,274700,Quebec
Apr 2011,One_storey,225600,Quebec
Apr 2011,Two_storey,333500,Quebec
Apr 2011,Townhouse,278800,Quebec
Apr 2011,Apartment,213900,Quebec
May 2011,Composite,257400,Quebec
May 2011,Single_family,275600,Quebec
May 2011,One_storey,227200,Quebec
May 2011,Two_storey,333400,Quebec
May 2011,Townhouse,277900,Quebec
May 2011,Apartment,213600,Quebec
Jun 2011,Composite,258100,Quebec
Jun 2011,Single_family,275500,Quebec
Jun 2011,One_storey,227000,Quebec
Jun 2011,Two_storey,333000,Quebec
Jun 2011,Townhouse,278100,Quebec
Jun 2011,Apartment,216300,Quebec
Jul 2011,Composite,258500,Quebec
Jul 2011,Single_family,275800,Quebec
Jul 2011,One_storey,227100,Quebec
Jul 2011,Two_storey,334200,Quebec
Jul 2011,Townhouse,284000,Quebec
Jul 2011,Apartment,216600,Quebec
Aug 2011,Composite,260900,Quebec
Aug 2011,Single_family,278700,Quebec
Aug 2011,One_storey,228300,Quebec
Aug 2011,Two_storey,338500,Quebec
Aug 2011,Townhouse,286700,Quebec
Aug 2011,Apartment,218300,Quebec
Sep 2011,Composite,262300,Quebec
Sep 2011,Single_family,280500,Quebec
Sep 2011,One_storey,230600,Quebec
Sep 2011,Two_storey,339700,Quebec
Sep 2011,Townhouse,286400,Quebec
Sep 2011,Apartment,219300,Quebec
Oct 2011,Composite,262700,Quebec
Oct 2011,Single_family,281400,Quebec
Oct 2011,One_storey,230500,Quebec
Oct 2011,Two_storey,341500,Quebec
Oct 2011,Townhouse,288100,Quebec
Oct 2011,Apartment,218600,Quebec
Nov 2011,Composite,263400,Quebec
Nov 2011,Single_family,282000,Quebec
Nov 2011,One_storey,231600,Quebec
Nov 2011,Two_storey,340700,Quebec
Nov 2011,Townhouse,285700,Quebec
Nov 2011,Apartment,220100,Quebec
Dec 2011,Composite,264600,Quebec
Dec 2011,Single_family,283600,Quebec
Dec 2011,One_storey,232900,Quebec
Dec 2011,Two_storey,343400,Quebec
Dec 2011,Townhouse,297000,Quebec
Dec 2011,Apartment,220300,Quebec
Jan 2012,Composite,266500,Quebec
Jan 2012,Single_family,286300,Quebec
Jan 2012,One_storey,233600,Quebec
Jan 2012,Two_storey,348600,Quebec
Jan 2012,Townhouse,298100,Quebec
Jan 2012,Apartment,219900,Quebec
Feb 2012,Composite,267100,Quebec
Feb 2012,Single_family,286700,Quebec
Feb 2012,One_storey,233400,Quebec
Feb 2012,Two_storey,349400,Quebec
Feb 2012,Townhouse,291500,Quebec
Feb 2012,Apartment,221800,Quebec
Mar 2012,Composite,267500,Quebec
Mar 2012,Single_family,286900,Quebec
Mar 2012,One_storey,233800,Quebec
Mar 2012,Two_storey,349500,Quebec
Mar 2012,Townhouse,293800,Quebec
Mar 2012,Apartment,223100,Quebec
Apr 2012,Composite,268900,Quebec
Apr 2012,Single_family,288600,Quebec
Apr 2012,One_storey,235900,Quebec
Apr 2012,Two_storey,350500,Quebec
Apr 2012,Townhouse,286300,Quebec
Apr 2012,Apartment,224000,Quebec
May 2012,Composite,269200,Quebec
May 2012,Single_family,288400,Quebec
May 2012,One_storey,235000,Quebec
May 2012,Two_storey,351100,Quebec
May 2012,Townhouse,291000,Quebec
May 2012,Apartment,225700,Quebec
Jun 2012,Composite,269100,Quebec
Jun 2012,Single_family,288900,Quebec
Jun 2012,One_storey,236800,Quebec
Jun 2012,Two_storey,350000,Quebec
Jun 2012,Townhouse,291700,Quebec
Jun 2012,Apartment,223900,Quebec
Jul 2012,Composite,270600,Quebec
Jul 2012,Single_family,290500,Quebec
Jul 2012,One_storey,236600,Quebec
Jul 2012,Two_storey,353900,Quebec
Jul 2012,Townhouse,290700,Quebec
Jul 2012,Apartment,226300,Quebec
Aug 2012,Composite,270900,Quebec
Aug 2012,Single_family,291300,Quebec
Aug 2012,One_storey,237300,Quebec
Aug 2012,Two_storey,354800,Quebec
Aug 2012,Townhouse,292800,Quebec
Aug 2012,Apartment,225500,Quebec
Sep 2012,Composite,271300,Quebec
Sep 2012,Single_family,290600,Quebec
Sep 2012,One_storey,238800,Quebec
Sep 2012,Two_storey,351600,Quebec
Sep 2012,Townhouse,291800,Quebec
Sep 2012,Apartment,228400,Quebec
Oct 2012,Composite,269600,Quebec
Oct 2012,Single_family,289700,Quebec
Oct 2012,One_storey,237100,Quebec
Oct 2012,Two_storey,351700,Quebec
Oct 2012,Townhouse,290800,Quebec
Oct 2012,Apartment,225200,Quebec
Nov 2012,Composite,269600,Quebec
Nov 2012,Single_family,289400,Quebec
Nov 2012,One_storey,236500,Quebec
Nov 2012,Two_storey,351400,Quebec
Nov 2012,Townhouse,289700,Quebec
Nov 2012,Apartment,225400,Quebec
Dec 2012,Composite,271100,Quebec
Dec 2012,Single_family,291200,Quebec
Dec 2012,One_storey,237300,Quebec
Dec 2012,Two_storey,354500,Quebec
Dec 2012,Townhouse,302200,Quebec
Dec 2012,Apartment,225800,Quebec
Jan 2013,Composite,271600,Quebec
Jan 2013,Single_family,292100,Quebec
Jan 2013,One_storey,237700,Quebec
Jan 2013,Two_storey,356100,Quebec
Jan 2013,Townhouse,297000,Quebec
Jan 2013,Apartment,225800,Quebec
Feb 2013,Composite,271400,Quebec
Feb 2013,Single_family,292100,Quebec
Feb 2013,One_storey,239000,Quebec
Feb 2013,Two_storey,355000,Quebec
Feb 2013,Townhouse,295200,Quebec
Feb 2013,Apartment,225400,Quebec
Mar 2013,Composite,272100,Quebec
Mar 2013,Single_family,292600,Quebec
Mar 2013,One_storey,240700,Quebec
Mar 2013,Two_storey,354400,Quebec
Mar 2013,Townhouse,298200,Quebec
Mar 2013,Apartment,226700,Quebec
Apr 2013,Composite,270800,Quebec
Apr 2013,Single_family,292400,Quebec
Apr 2013,One_storey,238400,Quebec
Apr 2013,Two_storey,356500,Quebec
Apr 2013,Townhouse,298600,Quebec
Apr 2013,Apartment,222600,Quebec
May 2013,Composite,271100,Quebec
May 2013,Single_family,292600,Quebec
May 2013,One_storey,238300,Quebec
May 2013,Two_storey,357000,Quebec
May 2013,Townhouse,296100,Quebec
May 2013,Apartment,223400,Quebec
Jun 2013,Composite,271800,Quebec
Jun 2013,Single_family,293700,Quebec
Jun 2013,One_storey,238800,Quebec
Jun 2013,Two_storey,358600,Quebec
Jun 2013,Townhouse,296500,Quebec
Jun 2013,Apartment,223500,Quebec
Jul 2013,Composite,272100,Quebec
Jul 2013,Single_family,294700,Quebec
Jul 2013,One_storey,240700,Quebec
Jul 2013,Two_storey,359200,Quebec
Jul 2013,Townhouse,292400,Quebec
Jul 2013,Apartment,222400,Quebec
Aug 2013,Composite,272900,Quebec
Aug 2013,Single_family,294800,Quebec
Aug 2013,One_storey,241100,Quebec
Aug 2013,Two_storey,358700,Quebec
Aug 2013,Townhouse,301000,Quebec
Aug 2013,Apartment,224700,Quebec
Sep 2013,Composite,271100,Quebec
Sep 2013,Single_family,293900,Quebec
Sep 2013,One_storey,241100,Quebec
Sep 2013,Two_storey,356800,Quebec
Sep 2013,Townhouse,296500,Quebec
Sep 2013,Apartment,221200,Quebec
Oct 2013,Composite,271800,Quebec
Oct 2013,Single_family,294000,Quebec
Oct 2013,One_storey,240400,Quebec
Oct 2013,Two_storey,357800,Quebec
Oct 2013,Townhouse,301400,Quebec
Oct 2013,Apartment,222800,Quebec
Nov 2013,Composite,271600,Quebec
Nov 2013,Single_family,294000,Quebec
Nov 2013,One_storey,240300,Quebec
Nov 2013,Two_storey,358200,Quebec
Nov 2013,Townhouse,298300,Quebec
Nov 2013,Apartment,221900,Quebec
Dec 2013,Composite,272200,Quebec
Dec 2013,Single_family,294100,Quebec
Dec 2013,One_storey,240900,Quebec
Dec 2013,Two_storey,357800,Quebec
Dec 2013,Townhouse,295600,Quebec
Dec 2013,Apartment,223500,Quebec
Jan 2014,Composite,272600,Quebec
Jan 2014,Single_family,294100,Quebec
Jan 2014,One_storey,241800,Quebec
Jan 2014,Two_storey,356300,Quebec
Jan 2014,Townhouse,292800,Quebec
Jan 2014,Apartment,225300,Quebec
Feb 2014,Composite,273200,Quebec
Feb 2014,Single_family,295000,Quebec
Feb 2014,One_storey,243400,Quebec
Feb 2014,Two_storey,357100,Quebec
Feb 2014,Townhouse,299000,Quebec
Feb 2014,Apartment,224100,Quebec
Mar 2014,Composite,271900,Quebec
Mar 2014,Single_family,293800,Quebec
Mar 2014,One_storey,241700,Quebec
Mar 2014,Two_storey,356700,Quebec
Mar 2014,Townhouse,303900,Quebec
Mar 2014,Apartment,222700,Quebec
Apr 2014,Composite,273800,Quebec
Apr 2014,Single_family,295700,Quebec
Apr 2014,One_storey,243600,Quebec
Apr 2014,Two_storey,358100,Quebec
Apr 2014,Townhouse,305200,Quebec
Apr 2014,Apartment,224200,Quebec
May 2014,Composite,272700,Quebec
May 2014,Single_family,295000,Quebec
May 2014,One_storey,242100,Quebec
May 2014,Two_storey,358500,Quebec
May 2014,Townhouse,299900,Quebec
May 2014,Apartment,222700,Quebec
Jun 2014,Composite,273400,Quebec
Jun 2014,Single_family,295500,Quebec
Jun 2014,One_storey,242500,Quebec
Jun 2014,Two_storey,359000,Quebec
Jun 2014,Townhouse,297300,Quebec
Jun 2014,Apartment,224200,Quebec
Jul 2014,Composite,272900,Quebec
Jul 2014,Single_family,294700,Quebec
Jul 2014,One_storey,242000,Quebec
Jul 2014,Two_storey,357900,Quebec
