Date,Composite_HPI_SA,Composite_Benchmark_SA
2019-06-01,240.8,532300
2019-07-01,242.2,535400
2019-08-01,243.4,538200
2019-09-01,245.0,541800
2019-10-01,246.4,544900
2019-11-01,247.4,547000
2019-12-01,248.0,548400
2020-01-01,248.5,549500
2020-02-01,249.3,551200
2020-03-01,249.1,550700
2020-04-01,246.1,544200
2020-05-01,248.2,548800
2020-06-01,252.6,558400
2020-07-01,259.2,573200
2020-08-01,265.5,587000
2020-09-01,270.0,596900
2020-10-01,273.0,603600
2020-11-01,276.0,610200
2020-12-01,279.2,617300
2021-01-01,284.3,628600
2021-02-01,291.0,643500
2021-03-01,298.3,659600
2021-04-01,304.5,673300
2021-05-01,310.4,686300
2021-06-01,316.4,699600
2021-07-01,321.1,709900
2021-08-01,326.5,721900
2021-09-01,333.9,738200
2021-10-01,343.5,759500
2021-11-01,351.4,777000
2021-12-01,357.5,790400
